timestamp,elapsed_s,step,max_abs_current_ma,max_temp_c,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky,policy_action_0_thumb_abd,policy_action_1_thumb_flex,policy_action_2_thumb_tendon,policy_action_3_index,policy_action_4_middle,policy_action_5_ring,policy_action_6_pinky,obs_z_0,obs_z_1,obs_z_2,obs_z_3,obs_z_4,obs_z_5,obs_z_6,obs_z_7,obs_z_8,obs_z_9,obs_z_10,obs_z_11,obs_z_12,obs_z_13,obs_z_14,obs_z_15,obs_z_16,obs_z_17,obs_z_18,obs_z_19,obs_z_20
2026-07-06T15:17:09.791,2.8643848339561373,0,1033.5,44.0,0.42,0.50087739375906,-13.0,40.0,0.44,0.47759212634470133,1033.5,44.0,0.56,0.49529259174486917,-494.0,41.0,0.44,0.49419394216830703,728.0,41.0,0.44,0.4936293583581293,760.5,41.0,0.44999999999999996,0.49388876173037305,825.5,41.0,0.56,0.49449912260624096,676.0,42.0,0.32416683435440063,0.1387578248977661,0.6817380785942078,0.3913782238960266,0.244459331035614,0.3235970437526703,0.5659593343734741,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2026-07-06T15:17:10.217,3.2900580000132322,5,929.5,44.0,0.4145914959907532,0.35060654612039366,-39.0,40.0,0.36847768068313597,0.40743114366369115,929.5,44.0,0.5925947427749634,0.5979858091096361,-559.0,41.0,0.323925256729126,0.283085374227512,767.0,41.0,0.14,0.20285343709468223,617.5,41.0,0.3417764902114868,0.36636911573968106,474.5,41.0,0.3521217703819275,0.3520408941786832,318.5,42.0,0.5345914959907532,0.4308989942073822,0.5925947427749634,0.323925256729126,0.07473894953727722,0.3417764902114868,0.3521217703819275,0.3521038889884949,0.4284776747226715,0.5951588749885559,0.28924980759620667,0.20000000298023224,0.36655712127685547,0.35216113924980164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47210389375686646,0.578477680683136,0.5725831985473633,0.28924980759620667,0.09151604771614075,0.36655712127685547,0.35216113924980164
2026-07-06T15:17:10.652,3.725401416886598,10,799.5,44.0,0.5002323436737061,0.4929579613946746,-318.5,40.0,0.30939242601394656,0.22992294193942167,799.5,44.0,0.7402252531051636,0.7892576485847257,-377.0,41.0,0.37054264545440674,0.3730830853742275,136.5,41.0,0.27135059237480164,0.20720225833524072,286.0,41.0,0.5917764902114868,0.5329365987640192,383.5,41.0,0.6365486979484558,0.5826657511253529,409.5,42.0,0.620232343673706,0.7452341914176941,0.7257658839225769,0.37054264545440674,0.27135059237480164,0.683243453502655,0.6365486979484558,0.48474299907684326,0.24939242005348206,0.8002252578735352,0.37510085105895996,0.21493616700172424,0.5417764782905579,0.5921217799186707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6047430038452148,0.5627473592758179,0.8248913884162903,0.37510085105895996,0.21493616700172424,0.6789847612380981,0.6230869293212891
2026-07-06T15:17:11.084,4.1574174168054014,15,819.0,44.0,0.5605148124694824,0.5579919127183948,-6.5,40.0,0.32213268280029295,0.244281681544213,819.0,44.0,0.7220892310142517,0.7593957427328908,-286.0,41.0,0.38261831045150757,0.4350194552529183,786.5,41.0,0.260240375995636,0.2320592050049592,624.0,41.0,0.6215510725975038,0.5625238422217136,409.5,41.0,0.7404592633247375,0.7297016861219195,136.5,42.0,0.6805148124694824,0.8048901557922363,0.7220892310142517,0.3324066400527954,0.260240375995636,0.6532829999923706,0.7404592633247375,0.557863175868988,0.2621326744556427,0.7694323062896729,0.44261831045150757,0.23788747191429138,0.5715510845184326,0.7308095693588257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6778631806373596,0.5765736103057861,0.8551396131515503,0.44261831045150757,0.23788747191429138,0.6879664659500122,0.7308095693588257
2026-07-06T15:17:11.514,4.587631666800007,20,650.0,44.0,0.5642994689941406,0.5588616769665065,-344.5,40.0,0.3304652285575867,0.2518959334706645,572.0,44.0,0.7079769945144654,0.7570458533607995,-266.5,41.0,0.37806275725364685,0.4304417486839094,546.0,41.0,0.2555031180381775,0.24106202792401007,650.0,41.0,0.6195031166076661,0.56069275959411,364.0,41.0,0.7488242387771606,0.7495384145876249,643.5,43.0,0.6842994689941406,0.7780067324638367,0.6755870580673218,0.32401078939437866,0.2555031180381775,0.6321621537208557,0.7488242387771606,0.5490090250968933,0.270465224981308,0.7679769992828369,0.43806275725364685,0.24718230962753296,0.569503128528595,0.7548575401306152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6690090298652649,0.6133258938789368,0.8515907526016235,0.43806275725364685,0.24718230962753296,0.7054345607757568,0.7548575401306152
2026-07-06T15:17:11.946,5.01989195891656,25,708.5,43.0,0.5526864576339722,0.5439230945296406,-318.5,40.0,0.29615807652473447,0.21638818951705197,708.5,43.0,0.8087268400192262,0.7369039444571603,-104.0,41.0,0.4102444350719452,0.4325780117494469,416.0,41.0,0.27191778779029846,0.21092545967803464,299.0,41.0,0.5698329567909242,0.5094529640650034,383.5,42.0,0.7185764908790588,0.7550316624704356,520.0,43.0,0.6726864576339722,0.8442166447639465,0.8109731078147888,0.4102444350719452,0.27470457553863525,0.7727285027503967,0.7185764908790588,0.534192681312561,0.2361580729484558,0.7487268447875977,0.44294819235801697,0.21191778779029846,0.519832968711853,0.7608675956726074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6541926860809326,0.4368770718574524,0.8596768379211426,0.44294819235801697,0.21191778779029846,0.611408531665802,0.7608675956726074
2026-07-06T15:17:12.380,5.453363291919231,30,591.5,44.0,0.5633468079566956,0.5483176928358893,0.0,40.0,0.2596247851848602,0.2324559395742733,201.5,44.0,0.7487268400192262,0.6798657206073091,-364.0,41.0,0.4378333067893982,0.3761348897535668,156.0,42.0,0.2272794544696808,0.2242923628595407,591.5,41.0,0.5500894069671631,0.4990768291752498,208.0,42.0,0.7774183750152588,0.8084077210650797,149.5,43.0,0.6833468079566956,0.40962478518486023,0.8101221323013306,0.4568180441856384,0.2272794544696808,0.620607852935791,0.7774183750152588,0.5496418476104736,0.23246513307094574,0.6887268424034119,0.3778333067893982,0.23042166233062744,0.5000894069671631,0.8097909688949585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6696418523788452,0.36089658737182617,0.7032135725021362,0.3778333067893982,0.23042166233062744,0.5000894069671631,0.8097909688949585
2026-07-06T15:17:12.816,5.889874708838761,35,507.0,44.0,0.5627130913734436,0.5887388418402381,-26.0,40.0,0.2580714881420135,0.25949492637521937,260.0,44.0,0.7374524450302125,0.6731517509727627,-305.5,42.0,0.4427463710308075,0.39078355077439536,273.0,42.0,0.2337838113307953,0.18794537270160983,351.0,41.0,0.5679384350776673,0.5167772945754178,299.0,42.0,0.7753949761390686,0.803219653620203,507.0,43.0,0.6827130913734436,0.40807148814201355,0.8376308083534241,0.4427463710308075,0.2337838113307953,0.6487311124801636,0.7753949761390686,0.5920910835266113,0.25962477922439575,0.6774524450302124,0.40223658084869385,0.19347649812698364,0.5179384350776672,0.8021645545959473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7120910882949829,0.2868553400039673,0.6774524450302124,0.40381336212158203,0.19347649812698364,0.5179384350776672,0.8021645545959473
2026-07-06T15:17:13.254,6.3273467919789255,40,676.0,44.0,0.5810921239852905,0.5948882276646067,-32.5,40.0,0.19807148814201353,0.25781643396658277,208.0,44.0,0.7249630069732667,0.6600595101853971,-214.5,42.0,0.4341539144515991,0.3706416418707561,676.0,42.0,0.20247414708137512,0.19850461585412374,299.0,42.0,0.5287924885749817,0.47833981841763945,500.5,42.0,0.7604632377624512,0.7879758907454032,338.0,43.0,0.7010921239852905,0.3190517723560333,0.8138928413391113,0.4341539144515991,0.20247414708137512,0.5812056064605713,0.7604632377624512,0.5986698269844055,0.2580714821815491,0.6649630069732666,0.3781096339225769,0.20417553186416626,0.4787924885749817,0.7878847122192383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7186698317527771,0.2570195198059082,0.6649630069732666,0.3781096339225769,0.20417553186416626,0.4787924885749817,0.7878847122192383
2026-07-06T15:17:13.692,6.765898083802313,45,728.0,44.0,0.5858522701263428,0.5641412985427634,58.5,40.0,0.2220096695423126,0.2806286717021439,221.0,44.0,0.6990547752380372,0.6385900663767452,-312.0,42.0,0.39969944953918457,0.3868162050812543,611.0,42.0,0.22755947709083557,0.20408941786831464,390.0,42.0,0.526984691619873,0.5115892271305409,728.0,42.0,0.7666523456573486,0.8169527733272297,195.0,43.0,0.7058522701263428,0.3143720030784607,0.7681376934051514,0.39969944953918457,0.22755947709083557,0.526984691619873,0.7666523456573486,0.5705298185348511,0.28200966119766235,0.6390547752380371,0.3959210515022278,0.2085472047328949,0.5117196440696716,0.8179959058761597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905298233032227,0.3214482069015503,0.6390547752380371,0.3959210515022278,0.2085472047328949,0.48030540347099304,0.8179959058761597
