step,elapsed_s,target_0_thumb_abd,pos_0_thumb_abd,curr_ma_0_thumb_abd,temp_c_0_thumb_abd,target_1_thumb_flex,pos_1_thumb_flex,curr_ma_1_thumb_flex,temp_c_1_thumb_flex,target_2_thumb_tendon,pos_2_thumb_tendon,curr_ma_2_thumb_tendon,temp_c_2_thumb_tendon,target_3_index,pos_3_index,curr_ma_3_index,temp_c_3_index,target_4_middle,pos_4_middle,curr_ma_4_middle,temp_c_4_middle,target_5_ring,pos_5_ring,curr_ma_5_ring,temp_c_5_ring,target_6_pinky,pos_6_pinky,curr_ma_6_pinky,temp_c_6_pinky
0,0.46424683299846947,0.09405355916685741,0.06677347981994354,26.0,42.0,0.08,0.0439459830624857,429.0,43.0,0.08032043945983063,0.047638666361486226,650.0,43.0,0.08,0.04483100633249409,-162.5,43.0,0.08028992141603723,0.0469062333104448,-676.0,45.0,0.08,0.043305104142824444,-435.5,46.0,0.08,0.0439154650186923,-630.5,46.0
1,0.5177017920650542,0.1740535591668574,,,,0.16,,,,0.16032043945983063,,,,0.16,,,,0.000289921416037231,,,,0.16,,,,0.16,,,
2,0.573029916966334,0.2540535591668574,,,,0.24,,,,0.24032043945983061,,,,0.18206907510757442,,,,0.042247423529624906,,,,0.24,,,,0.24,,,
3,0.6286445420701057,0.3340535591668574,,,,0.32,,,,0.32032043945983063,,,,0.26206907510757443,,,,0.02665169239044185,,,,0.32,,,,0.32,,,
4,0.6808595419861376,0.3930213969945907,,,,0.29754894971847534,,,,0.3271016123890877,,,,0.34206907510757445,,,,0.0489141747355461,,,,0.4,,,,0.4,,,
5,0.7372183329425752,0.42933486998081205,0.41739528496223394,-39.0,42.0,0.23610938847064974,0.24682993820096133,448.5,42.0,0.3849737292528152,0.36340886549172197,162.5,43.0,0.38204731047153473,0.36392767223620964,91.0,43.0,0.0,0.013656824597543298,559.0,45.0,0.3258852958679199,0.3495994506752117,975.0,46.0,0.48000000000000004,0.4426337071793698,-630.5,46.0
6,0.792546542128548,0.4072346979379654,,,,0.24709563791751862,,,,0.41813942074775695,,,,0.4195657953619957,,,,0.08,,,,0.40588529586791994,,,,0.56,,,
7,0.8449058330152184,0.4090853327512741,,,,0.3270956379175186,,,,0.4087649822235107,,,,0.4203239485621452,,,,0.010437014698982228,,,,0.48588529586791995,,,,0.64,,,
8,0.9002561250235885,0.4045424342155457,,,,0.37558470606803895,,,,0.36002367347478864,,,,0.3403239485621452,,,,0.08984837234020232,,,,0.5075971335172653,,,,0.72,,,
9,0.9557366669178009,0.42243164539337164,,,,0.3002891159057618,,,,0.29561392158269884,,,,0.2603239485621452,,,,0.10252132713794704,,,,0.42959611117839813,,,,0.7678381681442261,,,
10,1.0131272501312196,0.4531142443418503,0.44199282825970854,-182.0,42.0,0.23690053641796113,0.2527351796749828,442.0,43.0,0.37561392158269885,0.3389181353475242,253.5,43.0,0.2679347530007362,0.26540016784924086,227.5,43.0,0.07425758987665171,0.07951476310368505,396.5,45.0,0.3495961111783981,0.38101777676050963,1690.0,46.0,0.7314633369445801,0.7379415579461357,611.0,46.0
11,1.067434333031997,0.43453768849372865,,,,0.2569390749931335,,,,0.42726583540439605,,,,0.34793475300073623,,,,0.0,,,,0.42959611117839813,,,,0.8114633369445801,,,
12,1.1206017080694437,0.40938159704208377,,,,0.3098690581321717,,,,0.42026921540498735,,,,0.3993068426847458,,,,0.08,,,,0.5095961111783981,,,,0.89146333694458,,,
13,1.1723942500539124,0.4406353455781936,,,,0.3118204295635224,,,,0.4282567667961121,,,,0.4793068426847458,,,,0.16,,,,0.44146768003702164,,,,0.97146333694458,,,
14,1.2276058329734951,0.4343036460876465,,,,0.3132536482810975,,,,0.44455413162708285,,,,0.5593068426847458,,,,0.24,,,,0.5214676800370216,,,,0.89146333694458,,,
